Date,Algerian dinar(DZD),Australian dollar(AUD),Botswana pula(BWP),Brazilian real(BRL),Brunei dollar(BND),Canadian dollar(CAD),Chilean peso(CLP),Chinese yuan(CNY),Czech koruna(CZK),Danish krone(DKK),Euro(EUR),Indian rupee(INR),Israeli New Shekel(ILS),Japanese yen(JPY),Korean won(KRW),Kuwaiti dinar(KWD),Malaysian ringgit(MYR),Mauritian rupee(MUR),Mexican peso(MXN),New Zealand dollar(NZD),Norwegian krone(NOK),Omani rial(OMR),Peruvian sol(PEN),Philippine peso(PHP),Polish zloty(PLN),Qatari riyal(QAR),Russian ruble(RUB),Saudi Arabian riyal(SAR),Singapore dollar(SGD),South African rand(ZAR),Swedish krona(SEK),Swiss franc(CHF),Thai baht(THB),Trinidadian dollar(TTD),U.A.E. dirham(AED),U.K. pound(GBP),U.S. dollar(USD),Uruguayan peso(UYU)
19-Oct-2021,,0.526523,0.0632816,0.127221,,0.571553,0.000860998,0.110335,0.0322747,0.110631,0.823155,,0.219884,0.00618773,0.000595605,,,0.0164494,0.0348521,0.501168,0.0845648,,0.17921,0.013901,0.180115,0.19403,0.00995201,0.188338,0.524911,0.0484223,0.0820507,0.768434,0.0211863,0.104419,0.192313,0.976521,0.706268,0.0161204
20-Oct-2021,0.00516216,0.530383,0.0634422,0.127287,0.5264,0.573665,0.000869599,0.110623,0.0322146,0.110487,0.822061,0.00942391,0.219991,0.00617434,0.00059852,2.34545,0.170201,0.0164806,0.0350394,0.506194,0.0843707,1.83946,0.179602,0.013935,0.179383,0.194305,0.00995378,0.188606,0.5264,0.0487842,0.0820395,0.766357,0.0211618,0.104491,0.192586,0.973276,0.707271,0.0161533
21-Oct-2021,0.00516169,0.530685,0.0636143,0.125286,0.526539,0.572282,0.000870958,0.110454,0.0321109,0.110547,0.822533,0.00945416,0.220126,0.00618612,0.000601247,,0.170053,0.0164763,0.0348804,0.509339,0.0847401,1.8383,0.179034,0.0139133,0.179175,0.194183,0.00995664,0.188487,0.526539,0.0485983,0.0822589,0.769293,0.021177,0.104436,,0.975632,0.706826,0.0161023
22-Oct-2021,0.00516154,0.528407,0.0632505,0.123743,0.525279,0.571911,0.000864361,0.110574,0.0320373,0.110463,0.821904,0.00945007,0.22009,0.00619812,0.000601046,,0.169964,0.0164864,,0.506216,,,0.178643,0.0139075,0.17857,,0.009973,,0.525279,0.0482477,0.0823883,0.771012,,0.10441,,0.974306,0.70671,0.0161062
25-Oct-2021,0.00516541,0.52932,0.0629218,0.126322,0.525836,0.571117,0.000865789,0.110799,0.0318778,0.11026,0.820316,0.00942408,0.22052,0.00621745,0.000599954,2.34528,0.170379,0.0164632,0.0350172,,0.0844828,1.83872,0.178217,0.0139083,0.178975,0.194227,0.0100804,0.18853,0.525836,0.0478031,0.0824608,0.769174,,0.104494,0.192508,0.97359,0.706986,0.0161897
26-Oct-2021,0.00515582,0.531171,0.0631186,0.126683,0.524772,0.571117,0.000872439,0.110729,0.0319436,0.110385,0.821178,0.00940956,0.220811,0.00620285,0.000603187,2.34316,0.17044,0.0164645,0.0350103,0.506645,0.084808,1.83827,0.17728,0.0139227,0.17786,0.19418,0.0101623,0.188484,0.524772,0.0479551,0.0820228,0.769071,0.0213417,0.105515,0.192462,0.977384,0.706815,0.0162337
27-Oct-2021,0.00516328,0.532814,0.0628673,0.127192,0.525041,0.57288,0.00087777,0.110874,0.0320259,0.110552,0.822443,0.00944559,0.221863,0.00620206,0.000607018,2.34697,0.170635,0.0164665,0.0350599,0.506974,0.0844676,1.84126,0.177747,0.013958,0.177814,0.194496,0.0101413,0.188791,0.525041,0.0472018,0.0822871,0.76982,0.0212947,0.104794,0.192775,0.970832,0.707965,
28-Oct-2021,0.00515802,0.531306,0.0623984,0.126067,0.524942,0.572893,0.000879582,0.110636,,0.11025,0.820164,0.00945536,0.222124,0.00622768,0.000605654,2.34532,0.17035,,0.0348068,0.506545,0.0841469,1.83996,0.177979,0.0139314,0.177141,0.194359,0.010032,0.188657,0.524942,0.0467631,0.0823994,0.770281,0.0212548,0.105105,0.192639,0.973543,0.707465,0.0160959
29-Oct-2021,0.00516111,0.533143,0.0622448,0.125217,0.525531,0.570514,0.000877157,0.11056,0.0320201,0.1106,0.822747,0.0094473,0.223725,0.00621667,0.000602991,,0.170493,0.016423,,0.507284,0.0843883,1.83751,0.177251,0.0139162,0.178127,,0.0100188,,0.525531,0.0464472,0.0829302,0.775505,0.0212911,0.104662,,0.973873,0.706524,0.0159916
01-Nov-2021,,0.53196,0.0620206,0.125037,0.52512,0.573098,,0.110701,0.0320133,0.11031,0.820657,0.00945961,0.226167,0.00621107,0.000606025,2.34899,0.170941,,0.0339796,0.507931,0.0842845,1.84345,,,,0.194727,0.00997108,0.189015,0.52512,,0.0825317,0.776307,0.0212154,0.105174,0.193004,0.969471,0.708807,0.0160454
02-Nov-2021,0.00516334,0.530839,0.0616727,,0.525429,0.570838,0.000873177,0.110644,0.0321309,0.110429,0.821571,0.00947101,0.22622,0.00620568,0.000601945,2.34732,0.17066,,,0.508322,0.0839023,1.84153,0.176708,,0.178032,,0.00990606,0.188818,0.525429,0.0459053,0.0830832,0.775837,0.0212601,0.105034,0.192803,0.966796,0.708068,
03-Nov-2021,0.00516247,0.52669,0.0617719,0.125012,0.525047,0.570503,0.000869813,0.110697,0.0321063,0.110268,0.820177,0.00949991,,,0.000602631,2.34839,0.170553,0.0164855,0.0339998,0.504447,0.083174,1.84237,0.176745,0.0140407,0.178522,,0.00990931,0.188905,0.525047,,0.0827804,,0.0212431,0.104845,0.192891,0.967169,0.708393,0.0160444
04-Nov-2021,0.00515782,0.528409,0.0620781,0.126835,,0.569896,0.000869953,0.110937,0.0322161,0.110354,0.820779,,0.227028,0.00621519,0.000600681,2.35194,,,0.0343996,0.508473,0.0832519,1.84516,0.177056,0.0140377,0.178226,,,0.18919,,0.0465285,0.0827508,,0.0212573,,0.193183,0.964126,0.709464,0.0161337
05-Nov-2021,0.00516057,0.525553,0.0622394,0.128135,0.525475,0.570587,0.000871153,0.111015,0.0323895,0.110038,0.818419,,0.227869,0.00624501,0.000602114,,0.170813,0.0165268,0.034841,0.504807,0.0827707,,0.177181,0.0140506,0.17802,,,,0.525475,0.0465669,0.0827263,0.775057,0.0213195,0.105019,,0.955083,0.710495,0.0162924
